ticket_id,sprint,title,owner_type,priority,estimate_points,acceptance_summary
ARCH-101,S1,Modular Boundaries in Server,Backend,High,8,"No cyclic imports; module boundaries enforced; tests pass"
PLAT-102,S1,Central Error and Logging Contract,Backend,High,5,"Unified error envelope across API and WS; request correlation id present"
SEC-103,S1,Auth Token Lifecycle,Backend Security,High,8,"Refresh rotation works; revoked tokens rejected"
DX-104,S1,CI Quality Lock,DevEx,Medium,3,"PR merge blocked unless ci:check passes"
RT-201,S2,Realtime Path Isolation,Backend Realtime,High,8,"p95 WS handling latency improved; no event loss"
RT-202,S2,Queue for Heavy Jobs,Backend Platform,High,5,"Report generation async with retry and DLQ policy"
OBS-203,S2,Realtime SLO Dashboard,SRE,Medium,3,"p50/p95/p99 latency and reconnect metrics visible"
DATA-301,S3,Session and Transcript Index Review,Backend Data,High,5,"Hot queries improved with benchmark evidence"
DATA-302,S3,Transcript Retention and Archive,Backend Data,High,8,"Old transcript data archived and retrievable"
DATA-303,S3,Table Partitioning Prep,Backend Data,Medium,5,"Partition strategy rolled out without read/write break"
SEC-401,S4,RBAC and Ownership Enforcement,Backend Security,High,8,"IDOR scenarios blocked by policy middleware"
SEC-402,S4,Rate Limiting and Abuse Controls,Backend Security,High,5,"Per-user and per-IP limiting active with low false positives"
SEC-403,S4,Sensitive Logging Redaction,Backend Security,High,3,"No raw token/transcript/PII in logs"
PROD-501,S5,Contract Completion Funnel,Product Backend,High,5,"Creation-to-completion funnel available by cohort"
PROD-502,S5,Artifact Search MVP,Fullstack,Medium,5,"FTS search endpoint integrated in UI with acceptable latency"
PROD-503,S5,Reconnect Recovery UX,Frontend,Medium,3,"Clear reconnect states and improved recovery experience"
